MEDIA_ID,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,CX,CY,CS,
0,0.44510,4,1,0.86462,0.09791,0.94323,0.01389,0,
0,0.46160,4,1,0.86462,0.09791,0.94323,0.01389,0,
0,0.47810,4,1,0.84440,0.09254,0.94219,0.01389,0,
0,0.49485,4,1,0.86380,0.09456,0.94219,0.01389,0,
0,0.51097,4,1,0.86380,0.09456,0.94115,0.01389,0,
0,0.52747,4,1,0.84099,0.09702,0.94115,0.01389,0,
0,0.54398,4,1,0.86464,0.10007,0.94063,0.01389,0,
0,0.56061,4,1,0.86464,0.10007,0.94063,0.01389,0,
0,0.57698,4,1,0.87089,0.10089,0.93958,0.01389,0,
0,0.59362,4,1,0.80854,0.09938,0.93958,0.01389,0,
0,0.61038,4,1,0.81316,0.09972,0.93958,0.01296,0,
0,0.62699,4,1,0.59128,0.15601,0.93958,0.01296,0,
0,0.62699,4,0,0.56804,0.17848,0.93958,0.01296,0,
0,0.62699,4,0,0.56942,0.17989,0.93958,0.01296,0,
0,0.62699,4,0,0.57272,0.14775,0.93958,0.01296,0,
0,0.62699,4,0,0.59125,0.16548,0.93958,0.01296,0,
0,0.62699,4,0,0.59125,0.16548,0.93958,0.01296,0,
0,0.62699,4,0,0.57529,0.16743,0.93958,0.01296,1,
0,0.04967,5,1,0.56144,0.15523,0.93958,0.01296,0,
0,0.06616,5,1,0.56017,0.15403,0.93958,0.01296,0,
0,0.08252,5,1,0.58152,0.15031,0.93958,0.01296,0,
0,0.09916,5,1,0.58442,0.17479,0.93958,0.01296,0,
0,0.11552,5,1,0.58278,0.17344,0.93958,0.01296,0,
0,0.13242,5,1,0.51765,0.21162,0.93958,0.01296,3,
0,0.14851,5,1,0.50081,0.19755,0.93958,0.01296,0,
